verified_reviews,sentiment
"Good food, but its truly a shame how poor the service is. Waited outside for an hour and a half when the wait time was 45 minutes. Several parties that arrived after mine were taken in long before us. Piece of advice: make a reservation!",Negative
Loved the cheese fries. Not bad for me considering I've never been to other outback locations. Food takes a while to arrive. Sirloin was dry and wasn't cooked the way I asked...rice wasn't too good. (Me being Hispanic like my rice to be perfect) The coconut shrimp were really good.,Neutral
"Very pleased with the Echo 2nd Generation. It is so nice to have Alexa available for music, weather, news, and probably a lot more we haven’t discovered.",Positive
I was hoping they would be better than the one on LV blvd. NOT. the peach cobbler was totally burned.  don't even know why they bothered to sell that to anybody. the mac and cheese as usual is over cooked. i tried. i can't.,Negative
"The tropicana is coming on up, the hotel is doing a lot of work to promote and clean up the exteriors to make it more lively.",Neutral
Still learning everything she can do.  Good for a room.  Volume is pretty good without an additional speaker,Positive
"Cousin Vinny serves up some good Italian. I've had the tortellini and the five-cheese spaghetti bake (with added chicken), and both dishes were phenomenal. Other than Oregano's, you'd be hard pressed to find great Italian food at these prices.",Positive
I love it pretty cool.,Positive
"Katie is an amazing hair stylist! Not only is she really talented, but she has a fun, energetic personality to boot. Great location also. Go to Salon KT for all your hair/makeup needs for sure!",Positive
Just a quick update - A month later and still no response from the letter I wrote to the manager. At this point I know that it's over and done with but I will not be staying there again. Really poor customer service.,Negative
"Gotta agree, staff isn't the most upbeat. Seemed annoyed when I mentioned, Yelp listed them closed. Sandwhich was good, better thank Quiznos. Wish they had more veggie topping options. I had the chicken salad on pumpernickle. Very generous sized sandwhich for price.",Negative
"A little wait, a little slow, a little greasy, was just OK. Tough to do lunch here and get back to work on time.",Neutral
"Dr Cordero is a smart dr. However the wait time and over crowdedness of this place makes it unbearable. I'm at the \""primary care\"" part of this facility not the urgent care although they are connected, I must change dr's.",Negative
Purchased to use on the road in my semi. Does not work in that application.,Negative
"Food off the menu is pricey and not worth it! \n\nDim Sum is horrible! Reheated in the microwave after a long rancid stay in the carts. \n\nThis place used to be good 10 years ago, but I am so over it! Blech!",Negative
"We had brunch here. $39/person.\n\nI think it is a bit overpriced.\n\nNot much variety in food. \n\nDesserts are good. But to be honest, even if you have 100 choices I'm not going to eat more than 10 at one meal.\n\nLimited seafood selections. The sushis were meh..\n\nNot very impressive for the price.",Negative
This place ended up on 3 on your side!!!  What an absolute joke!!!,Negative
"I am happy with the refurbished echo dot. I’ve had it for about two weeks, and so far it is working perfectly! Even though it did not come in its original box, it looks like new! I’m happy with this purchase!",Positive
I have always enjoyed the food here since they opened but am thoroughly disgusted with the over the top high prices. These prices are not inline with other Mexican restaurants of equal or higher quality food. Don't think I will be going back exclusively because of the high prices.,Negative
Bring your own water and food if your exhibiting or walking a show. It's overpriced and the lines are ungodly long.,Negative
"Very disappointed! My carne asada burrito was cold, the meat dry and tough and slightly crunchy! Only ate it because I was starving and out shopping and needed some fuel. Please don't waste your money here, it is not worth it.",Negative
"Well- it's a subway. So the the standard sandwiches and services apply. I have never had bad service or food here- but the restaurant down on 43rd ave and Bell is generally cleaner, and the staff is a bit more friendly and outgoing.",Negative
Perfect!  Fast shipment and packaging.  Worked as intended.,Positive
"Seats were in the very back of the theater, if you want decent seats call the individual venues, we had better luck at about the same price and had much better seats.",Negative
"I wish I could give Cox 0 stars. \n\nHorrendous, hair-pulling experience.",Negative
"If you look, you can find some cool stuff.",Neutral
"Being to Craft over a dozen times, I figured Heritage would be just as good if not better.  The quality of meat and service did not disappoint but I have to say, I still prefer Craft.  The spicy onion rings are delicious though!",Neutral
Love it -- the best.  My experience with refurbished devices is excellent.,Positive
"Love it!  Great to request music and be able to see lyrics.  I had a dot, but this is so much better.",Positive
"I really liked the place itself and the people working there, but I'm gonna have to say that the food is just ok. \n\nI like the jalape\u00f1o hummus appetizer, but everything else was just ok nothing spectacular.",Neutral
clean and organize place..  staff is very helpful.. could use more staffs,Neutral
"Music was awful. MANN, seriously?\n\nTHe music was definitely not the business. Was a bit dead till it hit 12AM and even then, it wasn't as poppin as it should have been. And this was on a FRIDAY night. Definitely not crackin like TAO or XS. WOULD NOT COME BACK.",Neutral
I enjoy it. Still discovering new uses.,Positive
I just want to point out that there is a difference between inflammation and being burnt. I would hope that your employees understand that. I get my eyebrows waxed once a month so I know what it should look/feel like.,Negative
great sound easy set up looks cool,Positive
"One of the best restaurants in charlotte, nc.....never a disappointment!!!!! :-)",Positive
Decent car wash but high priced. They are always trying to up sale. And always looking for tips for a sub par job.,Negative
Does everything I could ask and more. Great product.,Positive
"Although it's pretty much brand new, it seems to be going down hill a bit because of the constant staff changes. I try to get there every couple of weeks and there seems to be an entire different staff every time!",Neutral
"sometime the officer can be pain in the ***, but well, they got the job done.",Neutral
I've had the first gen Echo since it first came out and it has worked well for me. I purchased the 2nd gen during Prime Day and so far I'm happy. It seems to have an improved speaker which provides enhanced sound for music and such.,Positive
chicken buns werent good. egg custard tart not good. ham and cheese bun not good.,Negative
I use this location to register my handguns. They are pretty fast here. The people working here are friendly. You don't usually have to wait too long. It is probably best to get here at 9am when they open. It can be busy later in the day.,Neutral
Awesome! Easy set up. Linked right up with my Nexia home automation.,Positive
Horrible service! But  Jalapeno popper roll is amazing.,Negative
DO NOT STAY HERE. They charged my credit card for services not rendered I had to contest the charges with my credit card company.,Negative
"Doubtful at first, but it works a lot better than my smart devices.Plus Alexa software include, that was a plus!",Positive
No stars for Hash A Go Go.  We waited over 45 minutes for frozen sunny side eggs.  We asked for a new order only to be served more frozen sunny side eggs.  Avoid if Salmonella is not your thing.,Negative
"The price was much too high for the quality and presentation. The staff was nice, but even for the convenience I can't justify the quality for the price.",Negative
There's not an option for no stars.....but this company has no customer service or professionalism.  DO NOT BUY.,Negative
Dirtiest  jack in the box ever!!  I grew eating jack in the box an this is a Peru excuse for one.,Negative
product stopped working after return time ran out,Negative
We are using the internet for our home and loving them,Positive
"Just ok overall.  The hush puppies were OUTSTANDING.  Best I've ever had.  The fish, fries and zucchini lacked seasoning and were a bland - although I used some hot sauce to fix it.",Negative
I've been here a few times and the food is always amazing! The spicy bulgogi is the best I have had anywhere and the bibimbap is fantastic. Service is great and I like the unique beers on tap.,Positive
Refurbished is the way to go. My Echo works just like new.,Positive
Love it - am using it strictly for music now and it's great!,Positive
Pretty good place for a quick lunch.  I was in here today and had the pasta with meatballs.  The meatballs and marinara sauce were good.  Nice flavors.  The pasta shells were overcooked and mushy.  Oh well.,Neutral
ew,Negative
Love it. Many stations to choose from,Positive
Amazing,Positive
"This little market has a little bit of everything. A deli, fresh produce, liquor and some slots. The fruit isn't always the freshest, it's a hit or miss each visit.\n\nIts perfect if you're staying at the north end of the strip, it's close to pick up some quick groceries",Neutral
consistant,Neutral
"Yes, it's OK hotel in Vegas. Pool is far away from room. Their sports bar staff are friendly.",Neutral
"Well, I love REI.  This store has it all.  This particular location has great service.  Every time I have had to buy gear of whatever kind I've always been helped by someone who is thoroughly informed, as well as pleasant.",Positive
"I expected more from this place but found it to be just ok. The service was kinda long and the food was...so-so. For the price, we expected more. The Lumberjack platter was comparable to a Denny's Slam platter...not saying that its bad, but pricey for what you can get elsewhere.",Neutral
Chicken wings are a good choice  to soak up liquor quickly. Saturday night bar across from the restaurant have live music.,Neutral
I'm sure they have some things that are good but I suggest to not get the sweet and sour chicken. Not very good flavor.,Negative
"Pros: not terribly expensive, coupons WIDELY available (not a great sign, frankly), never a line, nice enough service.\n\nCons: they go a little to hard toward comfort food, so it's all belly-bomb style.\n\nBest thing I had was the kale salad.",Neutral
"Free beer, free admission, hot waitresses in cute outfits. I can dig that.\n\nEverything else, ugh not so much. That pool looks so murky and dirty. Plus it's only a little bigger than any old backyard pool, except with 100 bodies in it. Gross.",Negative
This is ridiculous! 20+ minutes waiting for a to go salad..... A SALAD!!!!!  There was only two orders ahead of me and I saw people behind me getting served first!,Negative
Whomever charges $7 for a bottle of water should be beat.\n\nWhomever pays for it should too... which is me!\n\nI can't believe my bill was $13 for a cup of coffee and a water. Even for Vegas that's insane.,Negative
"By Las Vegas standards this is a good buffet but there are certainly better in the city. However when compared to a buffet in any area other than Vegas, Flavors would receive a higher rating - probably 4.5!",Neutral
"Wish I could give this place no stars,  dirty inside, food is terrible and over priced, wait staff is not customer friendly,  5 years ago this place was great, not anymore, avoid it at all costs! Even coach & willies is better and that's pathetic!",Negative
"love it! so glad we got it on Prime Day, although now having it, I would totally pay full price for it!",Positive
Their tacos are really outstanding but their wine list and margaritas not plentiful or that good. However nice environment and their 5 different salsas w chips--wonderful.,Neutral
I had this tailgating on Sunday for the cards greenbay game. It was very tasty and had a lot of flavor. One thing was it was a smaller portion than I expected. By the why it's better that any subway or blimpys.,Neutral
"Not too bad, but can better. The rate they give on line are doubled once you go to pick up your car.  All the cars was dirty, smelly & had dents.  They have nice cars to choose from.  Their shuttle ppl where very nice",Neutral
Perfect. Could not tell the difference from a new one.,Positive
"Meh. \n\nOn my 2 separate trips here, I've seen roaches in this place on BOTH occasions. Need I say more?",Negative
Always fast and courteous.,Positive
"Good food but takes too long before game to get order, be sure to come early, 35 mins to get food.",Neutral
Turned our old TV into a smart TV. Really easy interface. Have bought 4 now.,Positive
"Starbucks is Starbucks :)  it's not bad but you just have to know that you'll probably be waiting in line,  with no seat to sit down, and the coffee you get is not crafted with care.",Neutral
"All the music I can listen too, Also the movie I can watch I can see my ring doorbell .",Positive
Worst service!! Assistant manager Trish doesn't know what customer service is about. I have worked in retail for 10 years and aware on how customers should be treated. Will never go back to this location ever again!,Negative
Expensive and crowded. Not fun.,Negative
"CUSTOMERS BEWARE..this place has THE worst customer service ever!!! The owner and his family work here are and need customer service training badly. \n\nThe employees \""Niru\"" and \""Palak\"" yell and scream at customers and show no respect. Very very disappointed!!",Negative
"It's ok I've had better but for the price not bad. Orange chicken was ok, place looked clean, but the resturant was extremely hot inside looks like the had the A/C off",Negative
Horrible just horrible. Aren't they suppose to clean your teeth? I hate going to businesses with lazy workers. The Doctor is lazy. Go elsewhere for better work.,Negative
"Maybe this restaurant caters to a more Caucasian palate..? It doesn't have the crisp, clean taste that I appreciate at other pho places. (Just making a quick record for myself so I remember that I would have preferred the usual pho place that I go to in Vegas.)",Negative
"Cheap as can be. The coffee is terrible, the food is as average as could be.",Negative
Awful.  Horrible haunted house experience.  Expensive.  The actors didn't even try.  There even was a guy in the middle of the dark tunnel telling you how to get out safely.  There wasn't even the classic scary ending with a guy and a chain saw chasing you.  It was completely underwhelming.,Negative
"is a ok,  expect to pay 40$ for two.  The food is good but the portion is small it dont feel like a pound of lobster on the roll like the ad say.",Neutral
Ambiance qui me donne la nostalgie de Barcelone ... Service chaleureux et Humain. La quantit\u00e9 des tapas et plus que raisonnable ... Certainement mes favoris pour un 5 a 7,Neutral
Would not go back.  Terrible service and the food was mediocre.  Too bad because the location and atmosphere are really cool and the desert ridge area could use more cool places like this.  There are other much stronger options in city north to choose.,Negative
Decent Pho. Not great but not bad,Neutral
We had lunch there. Avoid at all cost. Spend couple more bucks and eat at other hotels. This was worse than Hometown buffet.,Negative
CLOSED-\n\nThis place burnt down.,Neutral
"Highly over-rated.\nHad the fish and chips. Batter was nice, but not crispy enough. They didnt fry the fish long enough.\nFries were not traditional and DIDNT work in this dish.\nPeas were honestly the best part of the dish... eh...",Negative
"Only took them about 10mins to get my water, let see how long its goint to take for my food.... service are awful!",Negative
Totally enjoy our new Echo Plus.  Great for fast facts and listening to Beautiful Music.  We are just getting started with all the benefits.,Positive
"Decent food, seriously lackluster service. Period.",Negative
Rip off they lied to us on free beer all night. \nNever comming back. \nThey stole our money,Negative
I am very glad there is a sonic finally close to my home. I really just like to come here for the beverages. Why is the service so slow every single time I come?,Negative
This was so bad everyone in the wedding party visiting got up half way through. I go to comedy shows regularly and I have seen local opening acts that held my attention better. Save your $! Don't waste your time!,Negative
Mediocre food and service.  Moderate sized private room available for meetings and parties.  Bartenders make a pretty good drink.  Nachos are huge.,Neutral
Great easy to set up.A little difficult to navigate and the instructions are non existent,Positive
"Stopped by today to get a few things and when I was walking through the garden section I saw a baby bunny!! The girl working there said they have a bunch of them living there and that the bunny's are happy as can be... \n\nCrazy, but pretty cool...",Neutral
"They have a really great Sunday brunch with wonderful tasting food, and all you can drink mimosa's or bloody mary's. The atmosphere is laid back with board games and a pool table upstairs, however the service has been absolutely horrible. If Republic Kitchen fails this will be the reason.",Negative
Pretty good service.  Bowling could've been better as far as lane condition and ball selection.  But had a great time overall.,Neutral
"Good food and able to manage a large group easily. Our party had 11 and there wasn't a long wait at all. Highlights: spinach and artichoke dip, onion rings, and tortilla soup. Total tab was only $160 for the whole group.",Positive
Food took an HOUR to get to us.  Then it was cold but we were too hungry to send it back and have them spit in it.  I really enjoyed this place when it was in Mesa but they just lost a customer.  Horrible.,Negative
Do not stay in the west wing the tower is what your're looking for! The west wing is outdated and crummy!,Negative
"The restaurant is decorated in all things 50 including photos, model cars, album covers and two large murals. We each ordered stuffed French toast - mine with cinnamon apples and Ann with blueberries.  The food and service were very good and I look forward to our return.",Neutral
"Solid shish-kebabs, great entrees & ambience. A little pricey.",Neutral
This thing woke me up in the middle of the night saying “ready for setup”. It was already setup. Should be a simple thing to check  time before asking. Wife not happy...,Negative
"It’s still a great product.But the sound quality does seem worse.Don’t get me wrong. You definitely get used to it within an hour. But it definitely feels like echo gen 1 sound quality was better.Besides that , it’s great.With the addition of being able to play Just over Bluetooth with no WiFi, it’s even better.",Positive
"Great service and food! Shonell did a wonderful job with our order and was very nice!!! The philly's are on point and are not soggy at all, just right and taste wonderful.",Positive
"A simple request, salt. Never got. Waiter never came back to check on us after the food was serverd. A simple courteous long time practice. This place is too busy for me. I felt like an orphan. In thier defense, food was excellent.",Neutral
This place I went a couple of years ago for dinner with a man who is now my ex bf. We thought it might be nice but thought naahhh. Boring pub. I prefer karaoke me.,Neutral
"Came here on a Sunday night for the first time.  We got comped drinks for an hour.  They played hip hop, the dance floor was small & crowded.  We ended up staying in one spot, got buzzed and left for XS.",Neutral
"I had the BBQ brisket, and it was pretty good.\nThe bartender was a little snotty, but our waiter was awesome.",Neutral
"Beef chow fun, Salt and pepper pork, and the roast duck was delicious. I do not advise of the sweet and sour chicken and the calamari.",Neutral
check it out I was taking my family and some friends to eat and was finishing smoking my cigarette in the parking lot. I was told I could not smoke on the lot. Won't be eating here again. In Goodyear Az,Negative
"Bedroom clock , ask questions,  weather reportsAlarm clock ⏰. Music 🎶 download music",Positive
Works wonderfully.,Positive
"Just okay. The food was overpriced. And portions are quite small. I expect that from a fancy dining kind of place, but this Public House doesn't belong in that category. at all.",Neutral
Nice,Positive
great price great product fire stick is the best i think works better then roku.,Positive
bar/restaurant. pretty small with good service most of the time. basically typical bar food. not to bad...except when hair manages to find it's way into your hash browns. haven't been back their since.,Negative
"Easy to set up, can control Kasa smart plugs no problem.  Even the kids have figured stuff out that I would not have asked Alexa, like telling jokes and singing. The Alexa app controls my custom spark plug and my cloud cam.",Positive
"I went here for the first time today.  Thought the food was okay.  Nothing really special, but it was $5 for a burger on Sunday, so that is a good value.  Service was friendly and attentive.  Will definitely give it another try.",Neutral
I was a little nervous when I received my new Echo as I'm not really Tech savvy. I found it a bit intimidating at first but it didn't take me to long to figure it out!! I'm very happy with my purchase and now thinking of adding an echo spot!!!,Positive
Using it to stream Amazon Prime and Netflix.,Positive
"I've never stayed at TI, but I have spent entirely too much time at the $5 Texas Hold'em table.  It's one of my favorite single tables in Vegas, which makes it one of my favorite single places in the world.",Positive
I love my Dot and am hoping to add a couple more around the apartment. The only reason I didn't give it 5 stars is because I wish the speaker would be just a little better. I know Amazon probably wanted to keep costs down for this item but I really like to play music around the apartment when I am busy doing things so if they would have added a speaker with just a little more wattage and bass response they would have something great to put in the bathroom or kitchen where there might not be a lot of space for a full sized Echo. I would have been willing to pay 10 to 20 dollars more if it had a better speaker. Oh well it is what it is and I still love it. I'm just going to have to find a Bluetooth speaker that sounds good but doesn't take up a whole lot of space.,Positive
"Strike 1: Getting rid of the dealertainers. Freddie Mercury to be exact.\nStrike 2: That doucher, Guy Fieri, has a restaurant here now.\nStrike 3: THE FAT TUESDAY IS CLOSED. \nI've gottta say i am a bit bitter about how they took the good ol' IP and turned it into this.",Negative
"AMAZING. It has helped me become better organized, gives me traffic updates, weather updates, and helps me maintain a good, fast morning routine.",Positive
"This is my first Alexa device and it is so fun to discover all of the ways to use it. The biggest con with me is the ""drop-in"" feature, it's pretty creepy",Positive
Thank you so much for the reviews!  Sound like the same techniques they use at 24hr fitness and la fitness.  At least the employees there are not rude like the ones in these reviews.  I'm not sending my employees to this place,Negative
"I took my car in to get the rear door replaced due to an accident.  Quick service, great work, and close to home, Unfortunately my car on the inside was dusty and remnants from the job was left inside, including small grease stains which were left on the seats.",Neutral
I used to love this place but it is apparantly under new owners who don't care as much as the previous owners.  The food quality has gone downhill as well as the cleanliness.  Sad to see a business fall into disrepair.,Negative
"It was cool to see all the different m&m colors that you haven't seen before. The m&m dolls, posters, collectibles, etc.  More for kids...but gets a little crowded.  I would go again, if I had my niece or someone  younger to go with.",Neutral
"Amazing!  I ate their albondigas soup when I was sick and I felt much better. Tasty food, elegant decor, and personable service!",Positive
"My first time, it was a really really wonderful experience! Tricia the owner is wayy awesome! They close at 5 pm and they still took me in at 5:15.. I'm definitely coming back!",Positive
Weak sound. Compared to the Google Home Mini the sound is bad. Also you need Prime to have a small selection of music and need prime music to play everything. Also if you get two you need prime family music to play music on both. I think it's lame that you need a family plan to use multiple devices.,Negative
"I was suppose to get the “free” lightbulb with purchase. It did not come with Echo. Upon reading more carefully, it says to click a box to receive free bulb. 😳 of course I want the free bulb, who wouldn’t? Just a sneaky way for them to get out of having to give so many “ free”  bulbs away. Disappointed!  I have yet to set up my echo, our first purchase on any alexia device. Debating if we want to keep it. It did come quickly with my prime membership.",Neutral
Food came out way too quick for the price that cost. That probably explains why it tasted like last nights warmed up leftovers.,Negative
"Chicken was good and hot. Inexpensive meal, especially w/ coupons.",Neutral
"I love the Echo Show!! I have the dot and have been using that for the last 6 months,  but the Show is so much better.  The sound quality is amazing and the screen resolution is like watching a mini 4K tv.  I love being able to see my timers, events and list instead of having them read to me.  I purchased this on prime day, and it is worth every penny.  When the dot was given to me, I thought ""this is a cute novelty,  but I'll probably never use it"". Was I wrong!!  Echo is part of my daily routine,  and has made my life so much easier.",Positive
"I got my Echo Spot on Prime Day and love it. I think it still is a little expensive, but the chance to save $30 convinced me to buy it. I basically use it as a radio alarm clock because on my old radio the stations would sometimes not come in clearly. I also like the sleep sounds skill, and hearing the weather. I'm still exploring the other skills...just discovered some Star Trek sounds (Alexa, beam me up) which are fun!",Positive
It's come up a star because the last few times I ate here I pre-ordered on short notice and it was ready when I walked in and was consistent. It was not busy when I placed these orders. I think things operate well when they are not overwhelmed.,Neutral
The manager was very unprofessional and rude. 1 star  because the cashier wanted to please the customer and had a positive attitude.,Negative
Ooooohhh emmmmmm geeee. Horrible. Horrible. Panda Express is better than this. And that's a chain restaurant. \nWe ordered the house special fried rice. Nothing special. Orange chicken. More like battered chicken in oil. Steamed/seared shrimp dumplings. More like fried/burned dumplings. Please do not waste your money here or appetite.,Negative
Great place for a late night drink but otherwise it completely blows!!  The service sucks and when we asked the waitress what do you have that's Italian she said well not much.....won't be coming back here again!!!!  Linguine and clams came in the shells?!!  Really?!  Bring on the Artisan!!,Negative
Total rip off food prices have become way too high for chappy food..... will never buy food here again !,Negative
Probably the friendliest coffee caf\u00e9 I've been to. Mike the roaster took care of me since I wanted to know more about the coffee beans and the different regions there from. He answered everything and even gave me a free espresso shot. Thanks again Mike for all the help!,Positive
"Slow service!  Crunchy pancakes?  What happened mimis? Used to be good.  They also recently changed their menu, with my favorite sandwich gone!  Never again.",Negative
I bought this to compare the speaker quality to our first generation speaker and i like the sound better.  I will ship this to my daughter though because I like the fact that my first generation has a chargeable base that we bought which keeps it more mobile and she needs a better sound than what she has now.,Positive
"Total disappointment!!  Expensive, stale and a long wait.\nDon't waste your time and money!!",Negative
I really like it .,Positive
Sad to see it go. \n\nClosing Monday and being replaced by a parking garage,Neutral
Returned from repair with No repair done. It has a problem which requires it to be on for a while for the defective part to show itself.I sent it for repair and got it back without being fixed.  The site gives no option to complain from the page.I have a echo spot which works perfectly in the same position.,Negative
"I didn't like their pad thai, it was too sweet. \nThe seafood fried rice was very delicious. \nService was ok. Kinda slow.",Neutral
Works good for the most part. You ask it some questions and she says she doesn’t know. I thought she was supposed to know everything,Positive
Amazing for all your entertainment needs!,Positive
"I always go here. The food selection and quality is pretty good for the price.  Love the sushi, love the red bean, mango, and green tea ice creams. Would be higher but the last few times I was there they didn't refill the food and there wasn't a sushi chef.",Neutral
Stopped for lunch with my daughter she had the spaghetti and I had the calzone. HUGE servings! The food was good but honestly have has better Italian. Staff was great it was a good experience will come back for lunch again.,Neutral
Great food great wine I would recommend we had kids went early everything was splendid,Positive
"A-OK barber shop.  Typical old school shop with 3 chairs.  My kids and I go here and they do good job including shaving the neck.  Depending on the clientele, it can be fun to listen and partake in the conversation.",Neutral
"Just simple...not affordable for a student budget!! Nice to look around and compare who is more creative than who...and of course to snack the dips, balsamic oils, jellies and similar!",Neutral
I like it,Positive
LOVE this place. Best of all those around. Clean with pleasant staff. And Pajama Wednesday is so fun to people watch!,Positive
"My  wife & I enjoy the ease of playing our music. The games are fun & entertaining, I look forward to adding more smart products to my home.",Positive
"Lack of variety, theres shrimp, beef and thats it.\n\nNo salmon, king crabs, or any of that stuff needed for a good buffet.\n\nRather pay 15 more dlls and have the real buffet experience. Woulndt come back here.",Neutral
"Average quality. Slow service,",Neutral
"I think we need to go back and try the desserts on display. I was craving a chocolate chip cookie, and they had them wrapped in plastic. It was okay, but nothing special. Not really worth the $2.",Negative
Good tea. Fair price. Quick service. Just what I needed while in a rush on a hot day.,Positive
"Whole Foods is a great place to shop for organics and healthy alternatives.  I love everything that they sell, but what I rave about when it comes to their deli counter is the cranberry tuna.  I love it!\n\nIt's a must try when you have time.",Neutral
Pharmacy: They only have 1 person staffing this location. Takes more than 30 minutes to fill a Rx.,Negative
"The food is great but the almost hour long wait, in line, is not worth it... It would be a 5 star review if it wasn't such an inconvenience of a wait.. the prices are a little high also but you get what you pay for.",Neutral
Was excited thought we finally found good local pizza...soo dissapointed. Service was great but we ran home to\n try the pizza and looked great love thin crust but was not crispy and taste was ok.was good sauce but no flavor to crust and was almist like frozen pizza crust...,Negative
"I hate that they don't carry good gluten free bread. I have to go to Whole Foods in town instead. Otherwise, good selection of frozen foods.",Neutral
"Mediocre. The all-you-can-eat was largely flavorless, at least on the beef side.  Flank steak and sirloin were essentially tasteless and a bit tough.  Most disappointing was the difficulty getting the waiter to come back with the meat.  I guess it's all you can eat if you can find it.",Negative
"--we were seated right away.\n\n--service was not very good, waitress took too long before taking order and dropping off check.\n\n--food took too long to arrive and hamburgers were cold.\n\n--food was average, a bit overpriced.\n\n--parking was crowded (maybe due to baseball games).",Negative
Pretty yummy Indian. Good rice pudding. We went during resto week aka queen's feast. Really good deal. Still looking for Indian food in clt that will knock my socks off tho.,Neutral
"I had their bean burger which was ok. Fries were not included, in fact it is straight up burgers that are about $12 or more each. It was super crowded and noisy for a Thursday afternoon, so a little pre planning might be necessary. It is the strip afterall",Neutral
"I like this place ... not the greatest coffee house in the world, but it has a casual, cozy atmosphere that I like.  Plus it's not far from my house and it isn't starbucks.",Neutral
